PostID,Post Description,Date,Language Code,Full Language,Sentiment
B7t9ay1JEuA,Face Mask On Duty! 💪🏼💪🏼💪🏼#coronavirusawareness #facemask #facemaskselfie #casinodealerslife #gaycasinodealer #casinolife,01/24/2020,en,English,neutral
B7vQxPtptTw,"Malaysia on Saturday said it had confirmed three cases of china coronavirus infection, the first case in the Southeast Asian country.

#pakistan #concepttvlive #concepttvnews #malaysia #coronavirus #coronavirusupdates #china #pakistanzindabad",01/25/2020,en,English,neutral
B7u3PM1lo7t,"Simpson did the asian coronavirus

#corona #coronavirus #coronaviruschina #coronavirusawareness #simpsons #simpsonsmemes #simpsonprediction",01/25/2020,en,English,neutral
B7uxnwcHIHj,"Gong Xi Fa Cai 2020

#chinesenewyear 
#yearoftherat 
#coronavirusawareness 
#stayhealthy
#redismycolor",01/25/2020,en,English,neutral
B7vkoD9ghgX,#coronavirus #coronaviruses @who #flu #infection #infectioncontrol #symptoms #medtalks #medtalksindia #cold #cleanhands #coronavirusawareness #coronavirusdewuhan,01/25/2020,en,English,neutral
B7v-AwRnNpl,#coronavirus #coronavirusoutbreak #novelcoronavirus2019 #coronavirusawareness #healtheducation #wuhancoronavirus #wuhan #wuhanvirus #china #preventivemedicine #healthcare #healthalerts #prevention #lifestyle #medicine,01/25/2020,en,English,neutral
B7vcJxYhMzk,Healthmatters #virus #who #unicef #United Nations #china # Airport #coronavirus #coronavirusoutbreak #coronaviruschina #coronavirusawareness #coronavirus2020,01/25/2020,en,English,neutral
B7wFaFNg5cd,#coronavirusawareness  #coronavirus #staysafe #nigeriacentrefordiseasecontrol  #ncdc,01/25/2020,en,English,neutral
B7vrmYclXm9,"Happy Chinese New Year! Thank you, everyone, for sharing this moment of happiness. However, I want to give my deep condolences for people in Wuhan, China that affected by Corona Virus that can’t celebrate Chinese New Year with Lion dance or dragon dance as the public meeting is restricted, or not even with a smile on their faces seeing people dying. It is a horrible tragedy and I pray that everything happens for a reason, and I trust His will no matter what happens. Please be aware and stay safe, with bushfire in Sydney, flood in Jakarta, and now virus in China. We need prayer warriors to rise up. Would you be the next prayer warrior?
#chinesenewyear2020 #coronavirusawareness #redenvelope #redteam #prayforaustralia #prayforwuhan #prayforindonesia #prayfortheworld #dontgiveuppraying #yourprayersmatter",01/25/2020,en,English,positive
B7vInxYFo8_,"Reduce the risk of #coronavirus. What you need to do....
#corona #coronavirusawareness #coronavirus #infection",01/25/2020,en,English,negative
B7vsP1GFf4U,Stay protected people while our love goes out to those infected and affected by the coronavirus. #healtheworld #wuhancoronavirus #instanigeria #health #healthy #healthyfood #healthylifestyle #nigerianwedding #coronavirusawareness #worldwide #peace #insidecanada #insidelife #inside #survival #kitchener,01/25/2020,en,English,positive
B7wBHWCBWnZ,"Xi formally says the situation is very very very grave
#memes #china #wuhan #WuhanPneumonia #coronoavirus #coronavirus #CoronaOutbreak #usa #Chicago #índia #France #australia #Seattle",01/25/2020,en,English,negative
B7wDbQvn_ni,"80 people who were kept under surveillance after returning to Kerala from... FOLLOW: @hashttag.news for more “FLASH UPDATES”. ———————————————————————— INDIA 🇮🇳: ⠀
⠀
Of 80 people who were kept under surveillance after returning to Kerala from China, seven remain under observation ""as a precautionary measure"" as they were showing some symptoms, according to a report by NDTV. There have been no confirmed cases of the coronavirus in India so far.⠀
⠀ ————————————————————————⠀⠀⠀⠀
FOLLOW: @hashttag.news⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
FOLLOW: @hashtag.cinemas⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
FOLLOW: @hashtag.memz ———————————————————————— #CoronaVirusIndia #CorpnaVirusinindia #coronavirus #coronaviruses #coronaviruschina #coronavirusoutbreak #coronavírus #coronavirüs #coronavirusmemes #coronaviruschino #coronavirusupdate #coronavirusawareness #coronavirusnews #coronavirus2020 #WorldHealthOrganization #CHINAvirus #china #virus #news  #hepatitis #hendravirus #hantavirus #groupbstrep #giardia #endmalaria #internationalnews #socialnews #politicalnews #Seithigal. #CoronavirusOutbreak",01/25/2020,en,English,neutral
B7u_Ka9B-dZ,"Part 2 The corona virus Impact on people and places worldwide is getting pretty horrific that China is at the Frontline of absorbing the impact and their ability to deal with this is truly gratifying but the human impact is horrific truly hope the world gets a handle on this soon⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
#coronavirus #coronaviruses #coronavirusoutbreak #coronaviruschina #coronavirusmemes #coronavírus #coronavirüs #coronaviruschino #coronavirüsü #coronavirus2020 #coronavirusdewuhan #coronaviruswuhan #coronavirusmeme #coronavirusu #coronavirusnews #coronavirusawareness #coronavırus #coronavirusupdate #coronavirus2019ncov #coronavirussucks #coronavirusthailand #coronavirusmexico #coronaviruscanino #coronaviruse #coronavirusfree #coronavirus😷 #coronavirus‼️ #coronavirusalert #coronavirusprevention #coronavirusfelino",01/25/2020,en,English,positive
B7vaY4CBRQz,"Latest update 45 dead 1300 in hospital now cases reported in all continents including first case in Australia 
Part 3 The corona virus Impact on people and places worldwide is getting pretty horrific that China is at the Frontline of absorbing the impact and their ability to deal with this is truly gratifying but the human impact is horrific truly hope the world gets a handle on this soon⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
#coronavirus #coronaviruses #coronavirusoutbreak #coronaviruschina #coronavirusmemes #coronavírus #coronavirüs #coronaviruschino #coronavirüsü #coronavirus2020 #coronavirusdewuhan #coronaviruswuhan #coronavirusmeme #coronavirusu #coronavirusnews #coronavirusawareness #coronavırus #coronavirusupdate #coronavirus2019ncov #coronavirussucks #coronavirusthailand #coronavirusmexico #coronaviruscanino #coronaviruse #coronavirusfree #coronavirus😷 #coronavirus‼️ #coronavirusalert #coronavirusprevention #coronavirusfelino",01/25/2020,en,English,negative
B7vUcxDgnK4,#coronavirus #coronavirusawareness,01/25/2020,en,English,neutral
B7vX8_dhy8D,"Latest update 45 dead 1300 in hospital now cases reported in all continents including first case in Australia 
Part 3 The corona virus Impact on people and places worldwide is getting pretty horrific that China is at the Frontline of absorbing the impact and their ability to deal with this is truly gratifying but the human impact is horrific truly hope the world gets a handle on this soon⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
#coronavirus #coronaviruses #coronavirusoutbreak #coronaviruschina #coronavirusmemes #coronavírus #coronavirüs #coronaviruschino #coronavirüsü #coronavirus2020 #coronavirusdewuhan #coronaviruswuhan #coronavirusmeme #coronavirusu #coronavirusnews #coronavirusawareness #coronavırus #coronavirusupdate #coronavirus2019ncov #coronavirussucks #coronavirusthailand #coronavirusmexico #coronaviruscanino #coronaviruse #coronavirusfree #coronavirus😷 #coronavirus‼️ #coronavirusalert #coronavirusprevention #coronavirusfelino",01/25/2020,en,English,negative
B7umC-JBDMp,#coronavirus #coronaviruses #coronavírus #coronavirüs #coronavirus2020 #coronavirusdewuhan #coronaviruswuhan #coronavirüsü #coronaviruschino #coronavirusmemes #coronaviruschina #coronavirusoutbreak #coronavırus #coronavirusawareness #coronavirusupdate #coronavirusu #coronavirusmeme #coronavirusnews #coronaviruscanino #coronavirusthailand #coronavirussucks #coronaviruscure #coronavirus‼️ #coronavirusalert #coronavirusprevention #coronavirus😷 #coronavirusscare #coronavirusuk #coronavirusinfection #coronavirusfelino,01/25/2020,en,English,neutral
B7vcKRElP54,Healthmatters #virus #who #unicef #United Nations #china # Airport #coronavirus #coronavirusoutbreak #coronaviruschina #coronavirusawareness #coronavirus2020,01/25/2020,en,English,neutral
B7vKJhpBWn9,"Latest update 45 dead 1300 in hospital now cases reported in all continents including first case in Australia 
Part 3 The corona virus Impact on people and places worldwide is getting pretty horrific that China is at the Frontline of absorbing the impact and their ability to deal with this is truly gratifying but the human impact is horrific truly hope the world gets a handle on this soon⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
#coronavirus #coronaviruses #coronavirusoutbreak #coronaviruschina #coronavirusmemes #coronavírus #coronavirüs #coronaviruschino #coronavirüsü #coronavirus2020 #coronavirusdewuhan #coronaviruswuhan #coronavirusmeme #coronavirusu #coronavirusnews #coronavirusawareness #coronavırus #coronavirusupdate #coronavirus2019ncov #coronavirussucks #coronavirusthailand #coronavirusmexico #coronaviruscanino #coronaviruse #coronavirusfree #coronavirus😷 #coronavirus‼️ #coronavirusalert #coronavirusprevention #coronavirusfelino",01/25/2020,en,English,negative
B7u_EkWBHHE,"Part 1 The corona virus Impact on people and places worldwide is getting pretty horrific that China is at the Frontline of absorbing the impact and their ability to deal with this is truly gratifying but the human impact is horrific truly hope the world gets a handle on this soon⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
#coronavirus #coronaviruses #coronavirusoutbreak #coronaviruschina #coronavirusmemes #coronavírus #coronavirüs #coronaviruschino #coronavirüsü #coronavirus2020 #coronavirusdewuhan #coronaviruswuhan #coronavirusmeme #coronavirusu #coronavirusnews #coronavirusawareness #coronavırus #coronavirusupdate #coronavirus2019ncov #coronavirussucks #coronavirusthailand #coronavirusmexico #coronaviruscanino #coronaviruse #coronavirusfree #coronavirus😷 #coronavirus‼️ #coronavirusalert #coronavirusprevention #coronavirusfelino",01/25/2020,en,English,positive
B7vVaBrDRxy,"Happy Chinese New Year! 🧧Don't forget to put on a mask to protect yourself and others ♥️ It can be quite uncomfortable but it's essential😷  𝐻𝐸𝒜𝐿𝒯𝐻 𝐼𝒮 𝒫𝑅𝐼𝒞𝐸𝐿𝐸𝒮𝒮 🧡
•
•
•

Together we can beat the virus 🦠 
#coronavirus #coronavirusawareness #beijing #wuhan #shanghai #china #staysafe #healthispriceless #wearyourmask #laowai #zaibeijing #beijinger",01/25/2020,en,English,positive
B7zDvaNpB_m,"Construction on Wuhan’s second hospital named “Leishenshan Hospital” has begun. This hospital is set to be ready within half a month with a capacity of 1300 beds. Not to confuse with the first hospital, called “Huoshenshan Hospital”, that is already under construction with a capacity of 1000 beds and due to start operations as of February 3rd, 2020. 中国加油(china jiayou)=China you can do it, keep fighting!

#ChinaJiayou #wuhancoronavirus #coronavirus #chinavirus #coronaviruschina #chinacoronavirus #wuhancoronaoutbreak #chinavirusnews #corona #coronavirusawareness #wuhan #wuhanvirus",01/26/2020,en,English,negative
B7zJ-6Mn9Qj,#coronavirusawareness,01/26/2020,en,English,neutral
B7y7dB_HUB8,"Some crossfit-instagrammer sent me this as a fan suscription. Thanks bra 
#coronamemes #coronameme #coronavirusmemes #coronavirusmeme #coronavirus #corona #coronavirusawareness #viralmemes #viralmemesdaily #flumemes #chinesememes #chinesememe #chinamemes #chinameme #foodmemes #foodmeme #memes #memesaboutpolitics",01/26/2020,en,English,positive
B7yocKZpW0D,#coronavirus #coronavírus #coronaviruses #coronavirüsü #coronavirusoutbreak #coronavirüs #coronaviruschina #coronaviruschino #coronavirusdewuhan #coronavirusawareness #coronavirussucks #coronaviruscanino #coronavirusmeme #coronaviruswuhan #coronavirusinfection #coronavirus2020 #coronavırus #coronavirusfelino #coronavirusfree#china #chinatown #chinaglaze #china🇨🇳 #chinatravel #chinatrip #chinalife #chinagirl #chinagram #chinafood,01/26/2020,en,English,neutral
B7ywbmAJFai,"According to information obtained on January 24th, 2020 a pharmacy in the capital Beijing has been making a profit by the corona outbreak by selling a box of ten N95 masks for RMB 850 (USD$120). The selling price for this box online is only USD$20. The pharmacy has been given a high penalty, which is the first case handled by the Beijing market supervision bureau in an effort to take a stand in tracking down profit seeking retailers as a result of the corona outbreak. While it is not clear yet what exactly the penalty entails, a high penalty ranges from a fine between USD$72K - USD$433K, up to the point of suspending/ canceling the business license and the case being publicly exposed. Prices for masks have seen hikes between 40%-560% in some places where supply is low. #ChinaJiayou #wuhancoronavirus #coronavirus #chinavirus #coronaviruschina #chinacoronavirus #wuhancoronaoutbreak #chinavirusnews #corona #coronavirusawareness #wuhan #wuhanvirus",01/26/2020,en,English,negative
B7y3i-npemK,"Nurse Li Qiong was asked on the day before Chinese New Year to rush to Wuhan the next day. Her long hair is not suited for wearing a protective suit so she had it quickly cut by a fellow nurse. She is not the only one who made that decision, many others have done so as well. #ChinaJiayou #wuhancoronavirus #coronavirus #chinavirus #coronaviruschina #chinacoronavirus #wuhancoronaoutbreak #chinavirusnews #corona #coronavirusawareness #wuhan #wuhanvirus",01/26/2020,en,English,negative
B7yz0Jbpr6O,"A nurse born in the 90s on her way to Wuhan’s hospital. In order to be let through she shows her nursing certificate and adds that she goes to Wuhan’s frontline to support the medical staff. She waves her father goodbye and tells him not to worry. Thank you for your help, come back safe! Nurses from all over the country have cancelled their New Year holiday plans to return to work and support their colleagues. #ChinaJiayou #wuhancoronavirus #coronavirus #chinavirus #coronaviruschina #chinacoronavirus #wuhancoronaoutbreak #chinavirusnews #corona #coronavirusawareness #wuhan #wuhanvirus",01/26/2020,en,English,positive
B7y6n3UJeER,Department director Wei Ming working at the frontline at Wuhan’s Jinyintan Hospital during an interview with People’s Daily Online: “What we fear the most is that we run out of protective supplies. The day after tomorrow we won’t have any N95 masks left” #ChinaJiayou #wuhancoronavirus #coronavirus #chinavirus #coronaviruschina #chinacoronavirus #wuhancoronaoutbreak #chinavirusnews #corona #coronavirusawareness #wuhan #wuhanvirus,01/26/2020,en,English,negative
B7zA4qOpZ8J,"Reporters of the Hubei Daily News let us have a glimpse at the situation in the resting rooms for volunteer medical staff at the headquarters of Wuhan’s Honghui Hospital. An average of five staff in a room, they sleep with their masks on. They haven’t gone home in many days.

#ChinaJiayou #wuhancoronavirus #coronavirus #chinavirus #coronaviruschina #chinacoronavirus #wuhancoronaoutbreak #chinavirusnews #corona #coronavirusawareness #wuhan #wuhanvirus",01/26/2020,en,English,neutral
B7xsqIyn_9n,Some facts about coronavirus... #coronavirus #outbreak #coronavirusawareness,01/26/2020,en,English,neutral
B7yeO9OFD-p,"Who else is moving to Greenland after the outbreak?

Credit to r/memes

#coronavirus #coronavirusoutbreak #coronaviruses #coronavirusmemes 
#coronaviruschina #coronavírus #coronavirüsü #coronavirüs #coronavirusawareness #coronavirus2020 #coronaviruschino #coronavirusmeme #ebolamemes #ebolamemesv3 #memescureebola #ebolamemesnow #ebolamemez #ebolameme #ebolamemesarethebestmemes #ebolamemesz #plagueinc #plagueincmemes #plagueincgame #plagueincmeme #plagueincevolved",01/26/2020,en,English,positive
B7xJ5oBn4Lm,"#coronavirusawareness #fightcoronavirus 
Please wear face masks when you go out. There are over 11,000 people flew from Wuhan to Bangkok this month. 
I love my country, but at this moment, let’s stay away from Chinese tourists.",01/26/2020,en,English,positive
B7w4OjmH4J2,"Novel Coronavirus 2019-nCoV

#pnemonia 
#pnemoniwuhan 
#coronavirus 
#coronaviruschina
#coronavirusawareness 
#wuhanchina 
#wuhanpneumonia 
#wuhancoronavirus 
#kementriankesehatanrepublikindonesia",01/26/2020,en,English,neutral
B7x-1ZeHm0O,"The first US patient to contract the deadly coronavirus is being treated by a robot doctor in a tiny secured room to reduce the risk of the disease spreading, according to a report.
.
 #robotspirits #roboty #robotarms #coronaviruses #chinatownsanfrancisco  #robotswillkill #coronavirusoutbreak #chinadress #chinasouthernairlines #coronavirüs #roboticaeducacional #coronavírus #robotwars  #coronavirusmemes #robotlivesmatter #robotman #coronavirusawareness #coronavirus2020  #technocookie #technobytes #coronaviruschina #roboticsurgery  #coronavirusmeme",01/26/2020,en,English,positive
B7xMPu3HvPb,"What I’d like to know is, how exactly did a camel get to China ??? 💔 Key words here “live meat “ ... Heartbreaking reality, strikes again. ———————————————————————Well, oops there it is .... 😭 So, exactly where did the virus come from again ? ... “Sale of exotic animals in the market” ??? And a list of all sorts of other things on the menu.  No further comment. 💔💔💔💔💔#GoVegan#timeforachance#wakeupworld#tigers#lions#wildlife#animals#change#behuman#china#stopthetorture#asia#knowledgeispower#coronavirusawareness #wildlife#friendsnotfood #news#coronavirus",01/26/2020,en,English,negative
B7xR6PvHmcj,"An infographic tips from Thailand's Department of Disease Control concerning the 2019 novel coronavirus (2019-nCoV). Practice these simple hygiene to reduce your risk of coronavirus infection. Let's continue to be vigilant. Stay safe, everyone!

#SiamLiving #CoronaVirusAwareness #Hygiene #Bangkok #Thailand #StaySafe",01/26/2020,en,English,positive
B7yLF6bhvru,"The virus was first thought to be similar to the one Mers n sars transmitted via bat's but the peculiar mutation indicates it is most likely from snake, that eats bat's, so it is rapidly mutating unstable highly infectious and also infecting during gestation all the signs of this are gravely bad, happy new year and Chinese new year everybody ⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
#coronavirus #coronaviruses #coronavirusoutbreak #coronaviruschina #coronavirusmemes #coronavírus #coronavirüs #coronaviruschino #coronavirüsü #coronavirus2020 #coronavirusdewuhan #coronaviruswuhan #coronavirusmeme #coronavirusu #coronavirusnews #coronavirusawareness #coronavırus #coronavirusupdate #wuhancoronavirus #coronavirussucks #houston #coronavirusmexico #California #coronaviruse #coronavirusfree #coronavirus😷 #coronavirus‼️ #coronavirusalert #coronavirusprevention #chicago",01/26/2020,en,English,negative
B7xtrt3BzTI,"Breaking new leaked footage from #WuhanCoronavirus show devastation and deserted city #coronarvirus #coronarovirus #china #RepublicDay2020 #RepublicDayIndia #PadmaAwards #usa #europe #WuhanOutbreak⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
#coronavirus #coronavirusoutbreak #coronaviruses #coronavirusmemes #coronaviruschina #coronavírus #coronavirüs #coronavirüsü #coronaviruschino #coronavirus2020 #coronavirusmeme #coronaviruswuhan #coronavirusnews #coronavirusdewuhan #coronavirusawareness #coronavirusaustralia #coronavirus‼️ #coronavirusu #coronavirusthailand #coronavirus😷",01/26/2020,en,English,negative
B7yLY10IYkL,"I’ve recorded parts of the original YouTube video to post on here . This man , a citizen of China and I guess Wuhan or any other city that was quarantined, is addressing the situation he’s currently living in. That’s already difficult on its own , since they need all this vpn stuff and the internet is already pretty bad there. I hope to spread a bit more awareness with this and I’d like you to watch the original , uncut and more detailed video on YouTube if you want to know more. As mentioned in the video , this virus might even be worse than the SARS incident in 2003 and the media is concealing that, who knows. Please share and spread awareness of their situation , do everything you can and you don’t even have to spend a dime for it. After all , people that don’t know, don’t help.  You can click on the link on my bio to watch the full video. #wuhan #wuhanchina #corona #coronavirus #help #citizen #china #quarantine #coronavirusawareness #helpchina",01/26/2020,en,English,positive
B7x_sZWhjgl,"A very strange perception battle but with USGovt. claim of China under reporting 10x where is this one going with now 4 Americans infected who could potentially have infected 1000's of Americans in the cities of Seattle Chicago Houston and in California do we have a global pandemic on our hands with the WHO still not calling it that⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
#coronavirus #coronaviruses #coronavirusoutbreak #coronaviruschina #coronavirusmemes #coronavírus #coronavirüs #coronaviruschino #coronavirüsü #coronavirus2020 #coronavirusdewuhan #coronaviruswuhan #coronavirusmeme #coronavirusu #coronavirusnews #coronavirusawareness #coronavırus #coronavirusupdate #wuhancoronavirus #coronavirussucks #houston #coronavirusmexico #California #coronaviruse #coronavirusfree #coronavirus😷 #coronavirus‼️ #coronavirusalert #coronavirusprevention #chicago",01/26/2020,en,English,negative
